Loading files for NASBench201...
Normalizing ZCP dict
try to create the NAS-Bench-201 api from /home/ya255/projects/flan_hardware/nas_embedding_suite/embedding_datasets/NAS-Bench-201-v1_1-096897.pth
Loaded files in:  160.99514484405518  seconds
Loading cache for NASBench-201 speedup!!...
Loading cache for NASBench-201 speedup!!...
Epoch 116/150 | Train Loss: 0.1008 | Epoch Time: 0.01s | Spearman@80: 0.0266 | Kendall@80: 0.0297
Epoch 117/150 | Train Loss: 0.0879 | Epoch Time: 0.01s | Spearman@80: 0.0250 | Kendall@80: 0.0291
Epoch 118/150 | Train Loss: 0.0849 | Epoch Time: 0.01s | Spearman@80: 0.0217 | Kendall@80: 0.0247
Epoch 119/150 | Train Loss: 0.0885 | Epoch Time: 0.01s | Spearman@80: 0.0310 | Kendall@80: 0.0329
Epoch 120/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.0358 | Kendall@80: 0.0354
Epoch 121/150 | Train Loss: 0.0896 | Epoch Time: 0.01s | Spearman@80: 0.0363 | Kendall@80: 0.0316
Epoch 122/150 | Train Loss: 0.0753 | Epoch Time: 0.01s | Spearman@80: 0.0359 | Kendall@80: 0.0367
Epoch 123/150 | Train Loss: 0.0731 | Epoch Time: 0.01s | Spearman@80: 0.0355 | Kendall@80: 0.0304
Epoch 124/150 | Train Loss: 0.0913 | Epoch Time: 0.01s | Spearman@80: 0.0602 | Kendall@80: 0.0462
Epoch 125/150 | Train Loss: 0.0307 | Epoch Time: 0.01s | Spearman@80: 0.0764 | Kendall@80: 0.0576
Epoch 126/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.0911 | Kendall@80: 0.0665
Epoch 127/150 | Train Loss: 0.0305 | Epoch Time: 0.01s | Spearman@80: 0.1252 | Kendall@80: 0.0861
Epoch 128/150 | Train Loss: 0.0936 | Epoch Time: 0.01s | Spearman@80: 0.0624 | Kendall@80: 0.0456
Epoch 129/150 | Train Loss: 0.0725 | Epoch Time: 0.01s | Spearman@80: 0.0503 | Kendall@80: 0.0468
Epoch 130/150 | Train Loss: 0.0926 | Epoch Time: 0.01s | Spearman@80: 0.0482 | Kendall@80: 0.0310
Epoch 131/150 | Train Loss: 0.0044 | Epoch Time: 0.01s | Spearman@80: 0.1433 | Kendall@80: 0.0949
Epoch 132/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.1593 | Kendall@80: 0.1082
Epoch 133/150 | Train Loss: 0.0304 | Epoch Time: 0.01s | Spearman@80: 0.1496 | Kendall@80: 0.0987
