uid,name_desc,seed,space,source_devices,sampling_metric,task_index,metric_device,sample_sizes,transfer_sample_size,representation,gnn_type,num_trials,sampling_method,opfpgcn,fgcn,rbgcn,efm,fcd,lr,weight_decay,epochs,transfer_epochs,cpu_gpu_device,hwemb_to_mlp,transfer_hwemb,spr,kdt,spr_std,kdt_std
383426624,study_6_6_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,zcp,1,titanx_1,256,15,adj_gin_zcp,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.817114104334524,0.6805774326618659,0.0485426680396364,0.05379968043490331
383426624,study_6_6_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,zcp,1,titanx_1,256,20,adj_gin_zcp,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8520184009466429,0.7218475545942633,0.02157354273971326,0.03011207864490829
383426624,study_6_6_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,zcp,1,titanx_1,256,30,adj_gin_zcp,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8589850283475311,0.7372500596490142,0.01592394608971076,0.02113806017313382
397864507,study_6_6_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,random,3,titanxp_32,256,5,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,True,True,0.6759155832265152,0.5189550524934383,0.1651607546715961,0.13274083812665785
397864507,study_6_6_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,random,3,titanxp_32,256,10,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,True,True,0.8235336362387841,0.6393126640419948,0.025362083500303195,0.032543689098672474
397864507,study_6_6_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,random,3,titanxp_32,256,15,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,True,True,0.7988769799487273,0.6242413057742783,0.05593929229311143,0.05595413282650864
397864507,study_6_6_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,random,3,titanxp_32,256,20,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,True,True,0.8424928851553439,0.6693651574803151,0.016115105204613643,0.02015632883259359
397864507,study_6_6_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,random,3,titanxp_32,256,30,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,True,True,0.8594125770615882,0.6854289698162732,0.013620290836850468,0.015191026804740885
846666926,study_6_6_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,arch2vec,2,titanx_1,256,5,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.7129242202282854,0.5434916338582678,0.09890931252679488,0.08928491991410903
846666926,study_6_6_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,arch2vec,2,titanx_1,256,10,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8126678569248611,0.6327550853018373,0.042472417174940144,0.0454645705107989
846666926,study_6_6_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,arch2vec,2,titanx_1,256,15,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8020348837209301,0.6267429461942258,0.053706229324453084,0.04841726319408078
846666926,study_6_6_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,arch2vec,2,titanx_1,256,20,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8452089246475005,0.6696358267716536,0.027699587628269646,0.03001496934966501
846666926,study_6_6_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,arch2vec,2,titanx_1,256,30,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8517137619788805,0.6798023293963255,0.015183680947105566,0.020110442170422235
